番号,都道府県,男,女,合計
1,北海道,2537340,2833467,5370807
2,青森,627006,696855,1323861
3,岩手,613838,663433,1277271
4,宮城,1131759,1187679,2319438
5,秋田,485257,543939,1029196
6,山形,538338,580130,1118468
7,福島,950430,988129,1938559
8,茨城,1482072,1478386,2960458
9,栃木,993019,998578,1991597
10,群馬,988955,1009320,1998275
11,埼玉,3679223,3664584,7343807
12,千葉,3137814,3145788,6283602
13,東京,6675004,6855049,13530053
14,神奈川,4574910,4580479,9155389
15,新潟,1116170,1184753,2300923
16,富山,520105,554600,1074705
17,石川,558006,595621,1153627
18,福井,385110,409323,794433
19,山梨,413919,430798,844717
20,長野,1036838,1089226,2126064
21,岐阜,1004919,1061347,2066266
22,静岡,1855174,1901691,3756865
23,愛知,3775270,3756961,7532231
24,三重,899701,942052,1841753
25,滋賀,699932,720328,1420260
26,京都,1232089,1337321,2569410
27,大阪,4283835,4577602,8861437
28,兵庫,2689585,2916960,5606545
29,奈良,656316,723865,1380181
30,和歌山,466136,518553,984689
31,鳥取,274794,300470,575264
32,島根,333255,363127,696382
33,岡山,929475,998157,1927632
34,広島,1385401,1472074,2857475
35,山口,668030,740558,1408588
36,徳島,364700,399513,764213
37,香川,482078,515733,997811
38,愛媛,666134,739191,1405325
39,高知,345444,387091,732535
40,福岡,2436091,2690298,5126389
41,佐賀,397243,440734,837977
42,長崎,656314,736636,1392950
43,熊本,850608,947541,1798149
44,大分,558646,618245,1176891
45,宮崎,529293,590251,1119544
46,鹿児島,785168,882835,1668003
47,沖縄,723531,743540,1467071